route_id,service_id,trip_id,trip_headsign,direction_id,block_id
99-256,JAN17B-JANDA17-Weekday-17,44818167-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271819
99-256,JAN17B-JANDA17-Weekday-17,44818168-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271819
96-256,JAN17B-JANDA17-Weekday-17,44818169-JAN17B-JANDA17-Weekday-17,"Terry Fox",1,5271460
96-256,JAN17B-JANDA17-Weekday-17,44818170-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271460
7-256,JAN17B-JANDA17-Weekday-17,44818171-JAN17B-JANDA17-Weekday-17,"Carleton",0,5272588
7-256,JAN17B-JANDA17-Weekday-17,44818172-JAN17B-JANDA17-Weekday-17,"St-Laurent",1,5272588
114-256,JAN17B-JANDA17-Weekday-17,44818173-JAN17B-JANDA17-Weekday-17,"Greenboro",1,5272588
144-256,JAN17B-JANDA17-Weekday-17,44818174-JAN17B-JANDA17-Weekday-17,"South Keys",1,5272588
144-256,JAN17B-JANDA17-Weekday-17,44818175-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5272588
144-256,JAN17B-JANDA17-Weekday-17,44818176-JAN17B-JANDA17-Weekday-17,"South Keys",1,5272588
144-256,JAN17B-JANDA17-Weekday-17,44818177-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5272588
116-256,JAN17B-JANDA17-Weekday-17,44818178-JAN17B-JANDA17-Weekday-17,"Merivale",1,5271584
116-256,JAN17B-JANDA17-Weekday-17,44818179-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271584
116-256,JAN17B-JANDA17-Weekday-17,44818180-JAN17B-JANDA17-Weekday-17,"Merivale",1,5271648
116-256,JAN17B-JANDA17-Weekday-17,44818181-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271648
1-256,JAN17B-JANDA17-Weekday-17,44818182-JAN17B-JANDA17-Weekday-17,"Ottawa-Rockcliffe",1,5271648
1-256,JAN17B-JANDA17-Weekday-17,44818183-JAN17B-JANDA17-Weekday-17,"South Keys",0,5271648
147-256,JAN17B-JANDA17-Weekday-17,44818184-JAN17B-JANDA17-Weekday-17,"Uplands South Keys",0,5272104
99-256,JAN17B-JANDA17-Weekday-17,44818185-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5272104
146-256,JAN17B-JANDA17-Weekday-17,44818186-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272104
298-256,JAN17B-JANDA17-Weekday-17,44818187-JAN17B-JANDA17-Weekday-17,"Conroy",1,5272335
106-256,JAN17B-JANDA17-Weekday-17,44818188-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271492
106-256,JAN17B-JANDA17-Weekday-17,44818189-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271492
101-256,JAN17B-JANDA17-Weekday-17,44818190-JAN17B-JANDA17-Weekday-17,"Bayshore",1,5272066
101-256,JAN17B-JANDA17-Weekday-17,44818191-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272066
101-256,JAN17B-JANDA17-Weekday-17,44818192-JAN17B-JANDA17-Weekday-17,"Bayshore",1,5272526
101-256,JAN17B-JANDA17-Weekday-17,44818193-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272526
106-256,JAN17B-JANDA17-Weekday-17,44818194-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271743
106-256,JAN17B-JANDA17-Weekday-17,44818195-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272526
106-256,JAN17B-JANDA17-Weekday-17,44818196-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272526
118-256,JAN17B-JANDA17-Weekday-17,44818197-JAN17B-JANDA17-Weekday-17,"Kanata",1,5271713
96-256,JAN17B-JANDA17-Weekday-17,44818198-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271559
104-256,JAN17B-JANDA17-Weekday-17,44818199-JAN17B-JANDA17-Weekday-17,"Carleton",1,5272140
99-256,JAN17B-JANDA17-Weekday-17,44818200-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5272104
8-256,JAN17B-JANDA17-Weekday-17,44818201-JAN17B-JANDA17-Weekday-17,"Gatineau",1,5272739
4-256,JAN17B-JANDA17-Weekday-17,44818202-JAN17B-JANDA17-Weekday-17,"Carleton",0,5272739
144-256,JAN17B-JANDA17-Weekday-17,44818203-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271594
144-256,JAN17B-JANDA17-Weekday-17,44818204-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5271461
144-256,JAN17B-JANDA17-Weekday-17,44818205-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271461
99-256,JAN17B-JANDA17-Weekday-17,44818207-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271461
99-256,JAN17B-JANDA17-Weekday-17,44818208-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271461
144-256,JAN17B-JANDA17-Weekday-17,44818210-JAN17B-JANDA17-Weekday-17,"Leitrim",0,5271461
144-256,JAN17B-JANDA17-Weekday-17,44818211-JAN17B-JANDA17-Weekday-17,"South Keys",1,5271461
99-256,JAN17B-JANDA17-Weekday-17,44818213-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271461
7-256,JAN17B-JANDA17-Weekday-17,44818214-JAN17B-JANDA17-Weekday-17,"St-Laurent",1,5272423
1-256,JAN17B-JANDA17-Weekday-17,44818215-JAN17B-JANDA17-Weekday-17,"South Keys",0,5271782
99-256,JAN17B-JANDA17-Weekday-17,44818216-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271461
121-256,JAN17B-JANDA17-Weekday-17,44818217-JAN17B-JANDA17-Weekday-17,"Blair",0,5271955
121-256,JAN17B-JANDA17-Weekday-17,44818218-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271955
4-256,JAN17B-JANDA17-Weekday-17,44818219-JAN17B-JANDA17-Weekday-17,"Rideau",1,5272751
129-256,JAN17B-JANDA17-Weekday-17,44818220-JAN17B-JANDA17-Weekday-17,"Carson's",0,5272702
